campaign_id,variant_id,clock,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,role_coverage,trade_roles,active_sessions,entry_roles,trade_sessions,entries_per_calendar_session,trade_session_fraction,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month
CAM-0621,etf__ibs30__top5__hold2__trend1,0930,2.0,0.20949248166644668,0.07697143235905894,1.0,979,246,497,229,1.988,0.916,122,124,9,3,0.01745770680553722,0.027518733260955087,-0.07541495839941398,0.06935537482589205
CAM-0621,etf__ibs30__top5__hold2__trend1,0930,5.0,0.16158248166644668,0.08436215696884475,1.0,979,246,497,229,1.988,0.916,120,126,7,5,0.01346520680553722,0.023013733260955082,-0.07907495839941399,0.06490037482589203
CAM-0608,qqq__slow_residual_r5__top10__weekly,0940,0.0,0.32461774781093244,0.20535543691521327,1.0,920,251,463,52,1.844621513944223,0.20717131474103587,135,116,6,6,0.02705147898424438,0.03246473605088088,-0.13782994256606088,0.13295509296568792
CAM-0608,qqq__slow_residual_r5__top10__weekly,0940,1.0,0.3160440458124997,0.2077982027070516,1.0,920,251,463,52,1.844621513944223,0.20717131474103587,134,117,6,6,0.026337003817708305,0.03174356420752582,-0.13846559792751642,0.13226711891211115
CAM-0608,qqq__slow_residual_r5__top10__weekly,0940,2.0,0.3074703438140669,0.21025637232934274,1.0,920,251,463,52,1.844621513944223,0.20717131474103587,133,118,6,6,0.025622528651172236,0.031022392364170755,-0.13910125328897194,0.13157914485853434
CAM-0608,qqq__slow_residual_r5__top10__weekly,0940,5.0,0.28174923781876837,0.21772477511692234,1.0,920,251,463,52,1.844621513944223,0.20717131474103587,132,119,6,6,0.023479103151564037,0.028858876834105575,-0.14100821937333854,0.12951522269780397
CAM-0609,qqq__slow_residual_r5__top10__weekly,0940,0.0,0.3020780622585609,0.07930669861531794,1.0,919,251,458,52,1.8247011952191234,0.20717131474103587,132,119,7,5,0.025173171854880074,0.02981756881338644,-0.04650866991079913,0.08098856136482926
CAM-0609,qqq__slow_residual_r5__top10__weekly,0940,1.0,0.29354413697899284,0.08011593877994809,1.0,919,251,458,52,1.8247011952191234,0.20717131474103587,132,119,7,5,0.02446201141491607,0.02901541330472241,-0.0471492876312921,0.08031064651151125
CAM-0609,qqq__slow_residual_r5__top10__weekly,0940,2.0,0.2850102116994248,0.08093054779857506,1.0,919,251,458,52,1.8247011952191234,0.20717131474103587,132,119,7,5,0.023750850974952067,0.028213257796058377,-0.047789905351785074,0.07963273165819325
CAM-0609,qqq__slow_residual_r5__top10__weekly,0940,5.0,0.25940843586072065,0.08481213252706032,1.0,919,251,458,52,1.8247011952191234,0.20717131474103587,132,119,7,5,0.02161736965506005,0.025806791270066277,-0.049711758513263996,0.0775989870982392
CAM-0610,sp500__ma100__weekly__top10__momentum,0940,0.0,1.1507849392165543,0.0873413525281635,1.0,186,251,93,47,0.3705179282868526,0.18725099601593626,152,99,9,3,0.09589874493471286,0.08429664011930163,-0.015359433858716614,0.27827364200756544
CAM-0610,sp500__ma100__weekly__top10__momentum,0940,1.0,1.1489249392165541,0.08744951639041967,1.0,186,251,93,47,0.3705179282868526,0.18725099601593626,152,99,9,3,0.09574374493471287,0.08411664011930162,-0.015559433858716616,0.2782136420075655
CAM-0610,sp500__ma100__weekly__top10__momentum,0940,2.0,1.1470649392165542,0.08755788009941153,1.0,186,251,93,47,0.3705179282868526,0.18725099601593626,152,99,9,3,0.09558874493471287,0.08393664011930163,-0.01575943385871662,0.2781536420075655
CAM-0610,sp500__ma100__weekly__top10__momentum,0940,5.0,1.1414849392165545,0.08788417586083433,1.0,186,251,93,47,0.3705179282868526,0.18725099601593626,152,99,9,3,0.09512374493471287,0.08339664011930162,-0.016359433858716618,0.27797364200756547
CAM-0611,qqq__ma10_30__weekly__top10__risk_adjusted,0940,0.0,0.3468078791488649,0.18796749509175217,1.0,666,251,354,52,1.4103585657370519,0.20717131474103587,138,113,6,6,0.028900656595738743,0.01634038022495434,-0.11277382085149956,0.20546751431381816
CAM-0611,qqq__ma10_30__weekly__top10__risk_adjusted,0940,1.0,0.34331313799796936,0.18882556683410867,1.0,666,251,354,52,1.4103585657370519,0.20717131474103587,138,113,6,6,0.028609428166497444,0.016064633193640297,-0.1133102350075416,0.20509963771179995
CAM-0611,qqq__ma10_30__weekly__top10__risk_adjusted,0940,2.0,0.33981839684707377,0.18968673498706007,1.0,666,251,354,52,1.4103585657370519,0.20717131474103587,138,113,6,6,0.028318199737256147,0.01578888616232625,-0.11384664916358364,0.20473176110978178
CAM-0611,qqq__ma10_30__weekly__top10__risk_adjusted,0940,5.0,0.32933417339438703,0.1922889864257811,1.0,666,251,354,52,1.4103585657370519,0.20717131474103587,137,114,6,6,0.02744451444953225,0.01496164506838412,-0.11545589163170973,0.2036281313037272
CAM-0612,qqq__ma3_10_21__weekly__top10__momentum,0940,0.0,0.5001992135091565,0.23242988367649653,1.0,512,251,255,52,1.0159362549800797,0.20717131474103587,136,115,6,6,0.0416832677924297,0.0024456633950701782,-0.21268465616683507,0.35041920318164804
CAM-0612,qqq__ma3_10_21__weekly__top10__momentum,0940,1.0,0.49487635636629934,0.23385394594715228,1.0,512,251,255,52,1.0159362549800797,0.20717131474103587,136,115,6,6,0.041239696363858276,0.0019456633950701726,-0.2134596561668351,0.35011634603879094
CAM-0612,qqq__ma3_10_21__weekly__top10__momentum,0940,2.0,0.48955349922344216,0.23528556678211307,1.0,512,251,255,52,1.0159362549800797,0.20717131474103587,136,115,6,6,0.04079612493528686,0.001445663395070173,-0.21423465616683507,0.3498134888959338
CAM-0612,qqq__ma3_10_21__weekly__top10__momentum,0940,5.0,0.4735849277948707,0.23962638728682603,1.0,512,251,255,52,1.0159362549800797,0.20717131474103587,136,115,6,6,0.03946541064957256,-5.433660492982443e-05,-0.2165596561668351,0.34890491746736235
CAM-0614,qqq__donchian50__breakout__top10__volume1,0940,0.0,0.7100017389989728,0.18838255803850396,1.0,652,211,319,204,1.2709163346613546,0.8127490039840638,108,103,7,5,0.059166811583247735,0.032466126077351706,-0.14453491187342676,0.36610601083762073
CAM-0614,qqq__donchian50__breakout__top10__volume1,0940,1.0,0.6839936844344685,0.19239208354677229,1.0,652,212,319,204,1.2709163346613546,0.8127490039840638,108,104,7,5,0.056999473702872394,0.030084642687042286,-0.14731831249549962,0.363590220404032
CAM-0614,qqq__donchian50__breakout__top10__volume1,0940,2.0,0.6579856298699647,0.19644569228026384,1.0,652,212,319,204,1.2709163346613546,0.8127490039840638,106,106,7,5,0.054832135822497054,0.027703159296732865,-0.1501017131175725,0.36107442997044337
CAM-0614,qqq__donchian50__breakout__top10__volume1,0940,5.0,0.5799614661764524,0.2088784099191704,1.0,652,212,319,204,1.2709163346613546,0.8127490039840638,101,111,7,5,0.04833012218137104,0.02055870912580459,-0.15845191498379113,0.3535270586696774
CAM-0617,qqq__alpha_M20_E5__top10__weekly__trend1,0940,0.0,0.4929059306495494,0.10148339327454692,1.0,590,238,282,92,1.1235059760956174,0.3665338645418327,132,106,8,4,0.04107549422079577,0.03252048440619122,-0.029187403626129288,0.1660291953626984
CAM-0617,qqq__alpha_M20_E5__top10__weekly__trend1,0940,1.0,0.487991485515192,0.10213284587820975,1.0,590,238,282,92,1.1235059760956174,0.3665338645418327,132,106,8,4,0.040665957126266,0.03215944051643466,-0.029556711936147666,0.16551696995021972
CAM-0617,qqq__alpha_M20_E5__top10__weekly__trend1,0940,2.0,0.4830770403808349,0.10278571438274335,1.0,590,238,282,92,1.1235059760956174,0.3665338645418327,132,106,8,4,0.04025642003173624,0.031798396626678105,-0.02992602024616603,0.16500474453774105
CAM-0617,qqq__alpha_M20_E5__top10__weekly__trend1,0940,5.0,0.4683337049777631,0.10476508694190617,1.0,590,238,282,92,1.1235059760956174,0.3665338645418327,131,107,8,4,0.039027808748146924,0.03071526495740841,-0.031033945176221135,0.16346806830030508
CAM-0621,etf__ibs30__top5__hold2__trend1,0940,0.0,0.28713384478369464,0.06567298427859827,1.0,979,246,497,229,1.988,0.916,132,114,9,3,0.023927820398641216,0.03053553574132445,-0.05801712730338045,0.07552070261019611
CAM-0621,etf__ibs30__top5__hold2__trend1,0940,1.0,0.2711638447836946,0.06718666540356734,1.0,979,246,497,229,1.988,0.916,130,116,9,3,0.022596987065307883,0.02900553574132445,-0.059237127303380446,0.0740357026101961
CAM-0621,etf__ibs30__top5__hold2__trend1,0940,2.0,0.2551938447836946,0.06871718208798694,1.0,979,246,497,229,1.988,0.916,128,118,9,3,0.02126615373197455,0.02747553574132445,-0.06045712730338045,0.0725507026101961
CAM-0621,etf__ibs30__top5__hold2__trend1,0940,5.0,0.20728384478369455,0.07498761144429923,1.0,979,246,497,229,1.988,0.916,123,123,9,3,0.017273653731974547,0.022885535741324445,-0.06411712730338046,0.0680957026101961
