portfolio,execution,period_type,period,net_return
fixed_50_50,primary_250ms_2bp,weekly,2023-09-16/2023-09-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-09-23/2023-09-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-09-30/2023-10-06,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-10-07/2023-10-13,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-10-14/2023-10-20,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-10-21/2023-10-27,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-10-28/2023-11-03,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-11-04/2023-11-10,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-11-11/2023-11-17,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-11-18/2023-11-24,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-11-25/2023-12-01,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-12-02/2023-12-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-12-09/2023-12-15,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-12-16/2023-12-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-12-23/2023-12-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2023-12-30/2024-01-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-01-06/2024-01-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-01-13/2024-01-19,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-01-20/2024-01-26,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-01-27/2024-02-02,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-02-03/2024-02-09,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-02-10/2024-02-16,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-02-17/2024-02-23,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-02-24/2024-03-01,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-03-02/2024-03-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-03-09/2024-03-15,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-03-16/2024-03-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-03-23/2024-03-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-03-30/2024-04-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-04-06/2024-04-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-04-13/2024-04-19,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-04-20/2024-04-26,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-04-27/2024-05-03,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-05-04/2024-05-10,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-05-11/2024-05-17,0.0
