formation,absolute,relative,hold,candidate_events,portfolio_events,portfolio_clusters,net,net_ex_20250407,max_drawdown,recovery_days,unresolved,positive_event_fraction,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_events,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_events,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_events
90,0.02,10.0,15,140,95,88,-0.2544378755832909,-0.3121054345812139,0.2593890707130366,534,True,0.3368421052631579,-0.25443787558329084,-0.014135437532405046,-0.01175370447678752,14,1,95,-0.19443505605107375,-0.012962337070071583,-0.0049257072027956116,11,1,82,-0.11744952954048192,-0.00978746079504016,-0.0015135134443254017,8,1,62
120,0.02,10.0,60,139,80,65,-0.19742974596137966,-0.20130101164315978,0.32082243021494733,387,True,0.4625,-0.19742974596137963,-0.010968319220076647,-0.005953613559180445,12,0,80,-0.19665416828619886,-0.01311027788574659,-0.0031902234063224608,10,0,70,-0.026103502684846083,-0.0021752918904038403,-0.0030749167064149027,8,0,46
30,0.06,8.0,5,96,73,60,-0.18474826027325947,-0.13456757112880938,0.21090946100259297,388,True,0.5342465753424658,-0.18474826027325947,-0.010263792237403304,-0.0008854523893200269,9,1,73,-0.1978588821751218,-0.01319059214500812,-0.0017709047786400537,8,0,68,-0.08615183773248597,-0.007179319811040498,-0.0037044578433086906,7,0,40
60,0.06,10.0,5,72,48,46,-0.19504186567178808,-0.2181493702958486,0.21396689668322572,386,True,0.4166666666666667,-0.19504186567178802,-0.010835659203988223,-0.0010263537103849495,9,3,48,-0.20405386366137918,-0.013603590910758611,-0.002052707420769899,8,3,44,-0.09433032736799875,-0.007860860613999895,-0.0010263537103849495,6,3,31
60,0.04,8.0,5,301,181,170,-0.2678774975084721,-0.21805572225452008,0.3099685762576394,534,True,0.4143646408839779,-0.2678774975084721,-0.014882083194915118,-0.009077425560390977,11,0,181,-0.20674577406272232,-0.013783051604181489,-0.00022383964372618345,8,0,158,-0.10634551377967826,-0.008862126148306521,-0.00507762052107957,7,0,118
120,0.02,8.0,60,337,134,117,-0.2149208842787625,-0.25841956648156456,0.32067704558187027,387,True,0.4253731343283582,-0.21492088427876244,-0.011940049126597914,-0.008323722206821586,12,0,134,-0.21177410020788745,-0.014118273347192496,-0.008616129983429862,11,0,114,-0.18645176803051616,-0.015537647335876347,-0.008323722206821586,9,0,89
45,0.02,10.0,15,278,181,163,-0.2631135076467714,-0.44034452798271856,0.38725316404223875,387,True,0.4972375690607735,-0.26311350764677127,-0.014617417091487292,-0.02236954340972463,13,0,181,-0.21275142817089737,-0.014183428544726491,-0.024634942254656567,11,0,156,-0.3054083973987999,-0.025450699783233322,-0.02724143317876459,10,0,120
90,0.02,8.0,30,388,215,180,-0.3607516078135369,-0.3984311824704791,0.36538357231530194,539,True,0.42790697674418604,-0.36075160781353677,-0.020041755989640933,-0.01775808821390941,12,0,215,-0.21741064830880039,-0.014494043220586693,-0.013445906423494731,9,0,185,-0.25571752099187867,-0.02130979341598989,-0.01965767067890616,8,0,127
45,0.04,8.0,60,250,158,153,-0.28780092348835506,-0.46808943555046384,0.44424542803287825,386,True,0.5569620253164557,-0.28780092348835506,-0.015988940193797502,-0.0064204037241146405,10,0,158,-0.22018505192603474,-0.01467900346173565,-0.012380121441492798,9,0,137,-0.1121723226241077,-0.009347693552008976,-0.0027361734056692783,6,0,109
90,0.06,8.0,5,97,77,72,-0.203563242027375,-0.23862656196666598,0.23149959486424437,498,True,0.33766233766233766,-0.20356324202737494,-0.01130906900152083,-0.00358877044541844,9,1,77,-0.2209236511231662,-0.01472824340821108,-0.00717754089083688,8,1,64,-0.0715277509142232,-0.0059606459095186,-0.00358877044541844,6,1,49
30,0.06,10.0,5,73,51,46,-0.2166622797339293,-0.11655196629557477,0.24155857623289417,477,True,0.5490196078431373,-0.2166622797339293,-0.012036793318551627,0.0001497869207795514,8,1,51,-0.22194463681540405,-0.014796309121026937,0.0002995738415591028,7,0,46,-0.03325522514526452,-0.002771268762105377,-0.00143292249700699,6,0,31
15,0.06,10.0,30,53,42,28,-0.3110267166095144,-0.28612982500259415,0.3110267166095144,525,True,0.6428571428571429,-0.3110267166095144,-0.017279262033861913,-0.011474067553948251,11,3,42,-0.22261023873489286,-0.01484068258232619,-0.010424336973478774,9,2,40,-0.1339969920680436,-0.011166416005670301,-0.00565811451437481,7,2,15
120,0.04,8.0,60,223,100,94,-0.2183113475284661,-0.26181002973126816,0.3396485529892597,387,True,0.44,-0.21831134752846607,-0.012128408196025892,-0.009187905008457918,12,0,100,-0.2229004643650796,-0.014860030957671973,-0.009759680033485972,11,0,84,-0.17816702570827903,-0.014847252142356585,-0.009187905008457918,9,0,66
90,0.02,10.0,30,140,93,83,-0.2508321042300591,-0.26175453660964637,0.2575637178693326,534,True,0.3333333333333333,-0.250832104230059,-0.013935116901669946,-0.0050401084552896755,13,1,93,-0.22493218043983504,-0.014995478695989002,-0.003535294350822114,11,1,81,-0.18097752197255312,-0.015081460164379426,-0.0050401084552896755,9,1,61
10,0.04,6.0,5,236,193,151,-0.15499960629875686,-0.07784386860132267,0.23824293027329937,433,True,0.41450777202072536,-0.15499960629875686,-0.008611089238819826,-0.008825769983370976,12,0,193,-0.22731248242856875,-0.015154165495237916,-0.018247115522066683,11,0,172,-0.0837344397202143,-0.006977869976684525,-0.014981844264650874,9,0,88
