variant_id,timeframe,lookback_bars,z_threshold,mode,protective_stop,cost_bps_per_side,net_simple_return,gross_simple_return,maximum_drawdown,trades,active_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,forced_exit,broker_margin,direct_short,holdout_rows_loaded
15m__r6__z0__long_short__stop0.005,15m,6,0.0,long_short,0.005,-1.0,3.766835675136411,-0.9780128698022488,0.23491766341246537,516806,1255,45,15,0.06278059458560686,0.06490235322625756,0.07269903748511561,next_bar_close,False,True,0
15m__r3__z0.5__long_short__stop0.02,15m,3,0.5,long_short,0.02,-1.0,3.7634974346903887,-1.7344344112703225,0.4158608773930028,237448,1255,45,15,0.06272495724483981,0.08709464578359558,0.08441029111732327,next_bar_close,False,True,0
15m__r6__z0__long__stop0.005,15m,6,0.0,long,0.005,-1.0,3.695478629535896,-1.049440735899331,0.23644610064248026,255305,1255,45,15,0.061591310492264933,0.05881947213897606,0.06943091867682395,next_bar_close,False,False,0
15m__r1__z0__long_short__stop0.02,15m,1,0.0,long_short,0.02,-1.0,3.6439666896407243,-2.35585447452684,0.5884476061948916,654855,1255,46,14,0.060732778160678756,0.07655240562410115,0.12389171302743011,next_bar_close,False,True,0
15m__r1__z0__long__stop0.02,15m,1,0.0,long,0.02,-1.0,3.6272336803256087,-2.372596811908644,0.5817246900576234,324995,1255,48,12,0.06045389467209347,0.08315882892754978,0.13049762327337397,next_bar_close,False,False,0
15m__r3__z0.5__long__stop0.02,15m,3,0.5,long,0.02,-1.0,3.566783024741924,-1.9311980655142,0.4566209428312608,118066,1255,43,17,0.05944638374569875,0.0834175142991121,0.08762629424979212,next_bar_close,False,False,0
15m__r6__z0.5__long_short__stop0.005,15m,6,0.5,long_short,0.005,-1.0,3.526047743206802,-1.218791552408476,0.368568515802773,203711,1255,41,19,0.05876746238678003,0.06506214935567131,0.07021505935590759,next_bar_close,False,True,0
15m__r6__z0__long_short__stop0.01,15m,6,0.0,long_short,0.01,-1.0,3.515999776236044,-1.228848768702616,0.28375144506632277,516806,1255,46,14,0.05859999627060073,0.07021197926379061,0.07747074756936913,next_bar_close,False,True,0
15m__r3__z1__long_short__stop0.02,15m,3,1.0,long_short,0.02,-1.0,3.4703436701920967,-2.0275854715320856,0.45814819715029637,127559,1255,43,17,0.05783906116986828,0.08758475690771952,0.07815612311920302,next_bar_close,False,True,0
15m__r6__z0__long__stop0.01,15m,6,0.0,long,0.01,-1.0,3.469002778321809,-1.2759165871134186,0.25938881077563136,255305,1255,45,15,0.05781671297203014,0.06002549912644217,0.07532367483309461,next_bar_close,False,False,0
