campaign_id,run_id,variant_id,panel,sma_window,gate,top_k,rank,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding,control_net,control_dd,incremental_net
CAM-0610,RUN-0024,qqq__ma100__daily__top5__momentum,qqq,100,ma100,5,momentum,1,2.0,1.5150235221066821,1.5968501887733488,0.08182666666666667,1002,2077,1576,858,718,0.9140371229698375,1.0,409.1333333333333,37,43,0.4671870301716684,0.03510933443935635,NVDA,0.3651332259630725,1.1498902961436097,1,1,0.018253295447068458,0.0,40,36,7,0.3801499270294915,2021-09-09,2025-04-08,196.0,0.0,12,0.09115322465338604,0.04948945727396728,8,4,0,15,0.057338397547722825,0.027362407037133232,8,7,0,18,0.05060634453156438,0.02314649386596419,10,8,0,open_to_next_open,2.3895291012103916,0.3938045304865419,-0.8745055791037095
CAM-0610,RUN-0024,qqq__ma100__daily__top5__risk_adjusted,qqq,100,ma100,5,risk_adjusted,1,2.0,1.1922495970377045,1.2982427450661407,0.10599314802843637,1093,8933,1576,848,728,0.9140919965496894,1.0000000000000004,529.9657401421819,41,41,0.37903990020632694,0.04108566157997373,ZM,0.2516464222106587,0.9406031748270458,1,1,0.014364452976357885,0.003104937257831602,42,34,7,0.3058123748803113,2020-02-13,2020-03-13,54.0,0.0,12,0.03555534677957098,0.03932011114511127,8,4,0,15,0.017806705363163734,0.03331326595088275,9,6,0,18,0.013287146451631052,0.028567255629988353,10,8,0,open_to_next_open,1.593564476357642,0.38195572690931767,-0.4013148793199375
CAM-0610,RUN-0024,qqq__ma100__daily__top10__momentum,qqq,100,ma100,10,momentum,1,2.0,1.4712373876699303,1.541588022590565,0.07035063492063492,1580,3784,1576,866,710,0.9140951276102088,1.0000000000000002,351.75317460317467,45,44,0.3792847834708128,0.03148286222759074,NVDA,0.23191060697401183,1.2393267806959185,1,1,0.017725751658673856,0.0,41,35,7,0.3192295108210107,2020-02-19,2020-03-13,64.0,0.0,12,0.07571138593346662,0.0568786170427001,8,4,0,15,0.04560756938919013,0.004271580404477494,8,7,0,18,0.04330067736400684,0.004968459652752359,10,8,0,open_to_next_open,2.059857379467901,0.3808240562119647,-0.5886199917979709
CAM-0610,RUN-0024,qqq__ma100__daily__top10__risk_adjusted,qqq,100,ma100,10,risk_adjusted,1,2.0,1.0970163775843316,1.1824399616072008,0.08542358402286887,1688,17011,1576,858,718,0.9141193321524524,1.0000000000000002,427.1179201143443,45,46,0.31331140886889874,0.03533923577990073,NVDA,0.14708143962407777,0.9499349379602537,1,1,0.01321706479017267,0.007912687649553558,44,32,7,0.28449486516124806,2020-02-18,2020-03-13,60.0,0.001118529384167232,12,0.04123800123434827,0.037203141215778085,7,5,0,15,0.022905939343276862,0.02043661201563078,8,7,0,18,0.022084195881012895,0.016649061090542726,10,8,0,open_to_next_open,1.582071588410547,0.3645527427436056,-0.4850552108262154
CAM-0610,RUN-0024,qqq__ma150__daily__top3__momentum,qqq,150,ma150,3,momentum,1,2.0,3.346089930257151,3.416289930257151,0.07019999999999998,527,1055,1574,864,710,0.9127996906419179,1.0,351.0,42,25,0.5098164725094062,0.037723653133383835,TSLA,0.7664987449370843,2.5795911853200666,1,0,0.040314336509122306,0.02285874034227541,50,26,7,0.43659516336017284,2020-02-18,2020-03-20,54.0,0.0015894743021119264,12,0.09410516923879719,0.05820199627516155,9,3,0,15,0.07391009745519676,0.05710024388601544,10,5,0,18,0.07047336452779508,0.05820199627516155,12,6,0,open_to_next_open,3.994244956786261,0.4506198026757674,-0.6481550265291101
CAM-0610,RUN-0024,qqq__ma150__daily__top3__risk_adjusted,qqq,150,ma150,3,risk_adjusted,1,2.0,1.7753723148764164,1.8850605302837535,0.10968821540733704,670,5387,1574,823,751,0.9128569747465642,1.0000000000000002,548.4410770366852,41,34,0.4614983856101864,0.04610889467098957,TSLA,0.4521893114639666,1.3231830034124499,1,1,0.021390027890077302,0.0052073614258946015,44,32,7,0.35008861095617105,2020-02-13,2020-03-20,39.0,0.0024094398646776942,12,0.03893209361559838,0.05877075811662283,7,5,0,15,0.0302237604291948,0.04953099330426236,9,6,0,18,0.024315195923840176,0.03182973808128474,10,8,0,open_to_next_open,2.0018346025907165,0.3738496611066569,-0.2264622877143001
CAM-0610,RUN-0024,qqq__ma150__daily__top5__momentum,qqq,150,ma150,5,momentum,1,2.0,1.9447606769044823,2.0138273435711485,0.06906666666666667,854,1753,1574,863,711,0.912877030162413,1.0,345.33333333333337,43,36,0.4463053860672678,0.034507645820319115,TSLA,0.36564483604275205,1.5791158408617303,1,1,0.023430851528969666,0.0005962425295165229,42,34,7,0.3302795804367023,2021-11-18,2022-10-12,764.0,0.0,12,0.09297342118280533,0.06625710587008166,8,4,0,15,0.0662241933380164,0.06007349152043571,9,6,0,18,0.05803284051562772,0.04944945727396728,11,7,0,open_to_next_open,2.3895291012103916,0.3938045304865419,-0.44476842430590935
CAM-0610,RUN-0024,qqq__ma150__daily__top5__risk_adjusted,qqq,150,ma150,5,risk_adjusted,1,2.0,1.3569086700267599,1.4503734555554277,0.09346478552866785,962,8785,1574,850,724,0.912931955647327,1.0000000000000004,467.32392764333923,41,41,0.39505982367553133,0.03916884737521762,TSLA,0.30799372823779986,1.04891494178896,1,1,0.01634829722923807,0.0038873054660894016,43,33,7,0.2760939216522333,2020-02-13,2020-03-20,34.0,0.0,12,0.03159159086562174,0.045701788262070026,7,5,0,15,0.01646711026620146,0.010406042828990401,8,7,0,18,0.01071960104190037,-0.007094915856509818,9,9,0,open_to_next_open,1.593564476357642,0.38195572690931767,-0.23665580633088212
CAM-0610,RUN-0024,qqq__ma150__daily__top10__momentum,qqq,150,ma150,10,momentum,1,2.0,1.652695461928606,1.7110365730397168,0.058341111111111114,1339,3216,1574,865,709,0.9129350348027843,1.0,291.7055555555556,52,39,0.3385136478195324,0.030933758253214764,NVDA,0.2258506555160325,1.4268448064125736,1,1,0.01991199351721212,0.00868411591503479,44,32,7,0.3000264524154422,2020-02-19,2020-03-20,55.0,0.0,12,0.07666579313859495,0.059072631892219805,7,5,0,15,0.04936310955018827,0.04555737427073517,8,7,0,18,0.04626592301467461,0.029415767501929823,10,8,0,open_to_next_open,2.059857379467901,0.3808240562119647,-0.4071619175392951
CAM-0610,RUN-0024,qqq__ma150__daily__top10__risk_adjusted,qqq,150,ma150,10,risk_adjusted,1,2.0,1.3351210355722323,1.4079312223988882,0.07281018682665569,1461,16752,1574,852,722,0.9129558632846411,1.0000000000000004,364.0509341332784,49,41,0.31293976263007656,0.0339018311891336,NFLX,0.13799867095855203,1.1971223646136802,1,1,0.016085795609304003,0.007916010912246167,46,30,7,0.2706905366492508,2020-02-18,2020-03-13,44.0,0.0,12,0.03991172875437194,0.03766481573444147,7,5,0,15,0.022412153700767764,0.005703192740100595,8,7,0,18,0.021904256290130073,0.010749467852912649,10,8,0,open_to_next_open,1.582071588410547,0.3645527427436056,-0.24695055283831469
CAM-0610,RUN-0024,qqq__ma200__daily__top3__momentum,qqq,200,ma200,3,momentum,1,2.0,3.9315607590227444,3.9930940923560776,0.06153333333333332,461,927,1524,846,678,0.8837973704563031,1.0,307.66666666666663,43,24,0.5008718698566347,0.03966791417437428,TSLA,0.765684392514904,3.1658763665078404,1,0,0.04736820191593668,0.02269418509716007,51,22,10,0.20027273083487698,2021-11-29,2022-10-12,190.0,0.0014010376003018993,12,0.09626818425490609,0.05820199627516155,9,3,0,15,0.09051126666617026,0.05930374866430767,11,4,0,18,0.08515635486539536,0.0715754196543694,13,5,0,open_to_next_open,3.994244956786261,0.4506198026757674,-0.06268419776351664
CAM-0610,RUN-0024,qqq__ma200__daily__top3__risk_adjusted,qqq,200,ma200,3,risk_adjusted,1,2.0,1.8183108056112178,1.9191952529765934,0.1008844473653756,609,5170,1524,797,727,0.8839907192575406,1.0000000000000002,504.42223682687813,43,29,0.47719430742717817,0.04879314717513915,TSLA,0.4353456280427007,1.3829651775685172,0,1,0.021907359103749604,0.0,41,32,10,0.1692652157871832,2024-01-24,2025-04-08,140.0,0.002372817848115107,12,0.037797465687767325,0.06119427900219585,7,5,0,15,0.03242377349360307,0.04953099330426236,9,6,0,18,0.026148540144180405,0.03182973808128474,10,8,0,open_to_next_open,2.0018346025907165,0.3738496611066569,-0.18352379697949872
CAM-0610,RUN-0024,qqq__ma200__daily__top5__momentum,qqq,200,ma200,5,momentum,1,2.0,2.1501233698292928,2.213403369829293,0.06328,781,1612,1524,829,695,0.8838747099767981,1.0,316.4,43,34,0.4418326247253739,0.03689055005214348,NVDA,0.34399673638390266,1.80612663344539,1,1,0.02590510084131678,0.0020282458475079264,44,29,10,0.2966940078060256,2021-11-29,2022-10-12,579.0,0.0,12,0.09455844453382856,0.06922949922244971,8,4,0,15,0.0743928448960754,0.06007349152043571,10,5,0,18,0.06447041512365854,0.04944945727396728,12,6,0,open_to_next_open,2.3895291012103916,0.3938045304865419,-0.23940573138109889
CAM-0610,RUN-0024,qqq__ma200__daily__top5__risk_adjusted,qqq,200,ma200,5,risk_adjusted,1,2.0,1.5347258745292203,1.6226426201349051,0.08791674560568485,890,8457,1524,824,700,0.8838930536447335,1.0000000000000004,439.5837280284243,44,36,0.3735982876609698,0.04269183015666638,TSLA,0.2928699213465351,1.2418559531826852,1,1,0.018490673187099044,0.0008384069391416359,42,31,10,0.17024706052341662,2024-06-18,2025-04-08,140.0,0.0,12,0.035982371806666566,0.04156784588210214,7,5,0,15,0.02354682073862652,0.024979287575027605,9,6,0,18,0.016286506954927768,0.01416239806733054,10,8,0,open_to_next_open,1.593564476357642,0.38195572690931767,-0.05883860182842171
CAM-0610,RUN-0024,qqq__ma200__daily__top10__momentum,qqq,200,ma200,10,momentum,1,2.0,1.9083504552645305,1.9591239473280224,0.05077349206349207,1160,2713,1524,846,678,0.8839327146171694,1.0,253.8674603174603,52,36,0.32711633553886144,0.03273524453083116,NVDA,0.23435411923854113,1.6739963360259893,1,1,0.022992174159813614,0.0,41,32,10,0.24916478385921143,2021-11-29,2022-10-12,417.0,0.0,12,0.08007813769726223,0.07345440305184993,7,5,0,15,0.055760626629459895,0.059384141810601365,8,7,0,18,0.051658342790198514,0.03741695175260334,10,8,0,open_to_next_open,2.059857379467901,0.3808240562119647,-0.15150692420337064
CAM-0610,RUN-0024,qqq__ma200__daily__top10__risk_adjusted,qqq,200,ma200,10,risk_adjusted,1,2.0,1.5637073734190627,1.6296888712827649,0.06598149786370183,1305,16091,1524,835,689,0.8839498755191196,1.0000000000000004,329.9074893185092,51,36,0.29408098711670994,0.03592236689393871,TSLA,0.13763066501139684,1.426076708407666,1,1,0.01883984787251883,0.010204680912975377,45,28,10,0.18330394988278295,2021-12-27,2022-09-23,412.0,0.0,12,0.04368278228498725,0.04051944811180555,7,5,0,15,0.029286750842361615,0.02075998609958962,9,6,0,18,0.028127765667717478,0.023959136778064813,11,7,0,open_to_next_open,1.582071588410547,0.3645527427436056,-0.018364214991484218
CAM-0610,RUN-0024,etf__ma100__daily__top1__momentum,etf,100,ma100,1,momentum,1,2.0,1.7585270814763585,1.8703270814763586,0.11180000000000001,280,559,1679,918,749,0.9164847161572053,1.0,559.0,13,7,0.8969928991068319,0.043568885599587284,SOXL,1.126978180198278,0.6315489012780806,0,0,0.01998326228950408,0.0,42,39,7,0.5841479600796212,2020-02-19,2020-08-11,463.0,0.032933581910306604,12,0.10396357521757967,0.03582524849294677,8,4,0,15,0.08137794309529897,0.030745753373457863,9,6,0,18,0.083307156213749,0.032245585071176974,12,6,0,open_to_next_open,3.197482605903844,0.6326492877122379,-1.4389555244274854
