candidate,extra_adverse_bps_per_side,symbol,net_pnl
qqq_single_ma150_weekly_top1,1.0,WYNN,0.0
qqq_single_ma150_weekly_top1,1.0,WBA,0.0
qqq_single_ma150_weekly_top1,1.0,WTW,0.0
qqq_single_ma150_weekly_top1,1.0,SGEN,0.0
qqq_single_ma150_weekly_top1,1.0,SBUX,0.0
qqq_single_ma150_weekly_top1,1.0,ROST,0.0
qqq_single_ma150_weekly_top1,1.0,MSFT,0.0
qqq_single_ma150_weekly_top1,1.0,MRVL,0.0
qqq_single_ma150_weekly_top1,1.0,LULU,0.0
qqq_single_ma150_weekly_top1,1.0,LRCX,0.0
qqq_single_ma150_weekly_top1,1.0,MCHP,0.0
qqq_single_ma150_weekly_top1,1.0,NXPI,0.0
qqq_single_ma150_weekly_top1,1.0,NTES,0.0
qqq_single_ma150_weekly_top1,1.0,NLOK,0.0
qqq_single_ma150_weekly_top1,1.0,MYL,0.0
qqq_single_ma150_weekly_top1,1.0,MXIM,0.0
qqq_single_ma150_weekly_top1,1.0,SHOP,0.0
qqq_single_ma150_weekly_top1,1.0,PAYX,0.0
qqq_single_ma150_weekly_top1,1.0,PCAR,0.0
qqq_single_ma150_weekly_top1,1.0,PEP,0.0
qqq_single_ma150_weekly_top1,1.0,PTON,0.0
qqq_single_ma150_weekly_top1,1.0,PYPL,0.0
qqq_single_ma150_weekly_top1,1.0,QQQ,0.0
qqq_single_ma150_weekly_top1,1.0,RIVN,0.0
qqq_single_ma150_weekly_top1,1.0,SIRI,0.0
qqq_single_ma150_weekly_top1,1.0,ROP,0.0
qqq_single_ma150_weekly_top1,1.0,ODFL,0.0
qqq_single_ma150_weekly_top1,1.0,OKTA,0.0
qqq_single_ma150_weekly_top1,1.0,ON,0.0
qqq_single_ma150_weekly_top1,1.0,ORLY,0.0
qqq_single_ma150_weekly_top1,1.0,NTAP,0.0
qqq_single_ma150_weekly_top1,1.0,MTCH,0.0
qqq_single_ma150_weekly_top1,1.0,XLNX,0.0
qqq_single_ma150_weekly_top1,1.0,XEL,0.0
qqq_single_ma150_weekly_top1,1.0,WMT,0.0
qqq_single_ma150_weekly_top1,1.0,TXN,0.0
qqq_single_ma150_weekly_top1,1.0,VRSN,0.0
qqq_single_ma150_weekly_top1,1.0,VSNT,0.0
qqq_single_ma150_weekly_top1,1.0,SNPS,0.0
qqq_single_ma150_weekly_top1,1.0,SMCI,0.0
qqq_single_ma150_weekly_top1,1.0,TCOM,0.0
qqq_single_ma150_weekly_top1,1.0,TEAM,0.0
qqq_single_ma150_weekly_top1,1.0,TRI,0.0
qqq_single_ma150_weekly_top1,1.0,TTD,0.0
qqq_single_ma150_weekly_top1,1.0,SPLK,0.0
