campaign_id,variant_id,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,position_rows,quote_complete_position_rows,missing_position_rows,position_coverage_rate,symbols,active_sessions,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,top5_symbol_positive_share,leave_best_symbol_out_return,mean_entry_spread_bps,mean_exit_spread_bps,median_entry_delay_ms,median_exit_role_delay_ms,max_role_window_seconds,broker_margin,direct_short,holdout_rows_loaded
CAM-0605,qqq__residual_mom__q10__regime0,0.0,-1.7379183030621785,1.7680133516112992,2750,2750,0,1.0,39,250,77,173,0,12,-0.14482652525518155,-0.14854522960979533,-0.14482652525518155,0.9868221838848141,-1.8144150147765117,77.74928788836354,78.36950726536955,30.4410335,30.3543565,30,False,False,0
CAM-0605,qqq__residual_mom__q10__regime0,1.0,-1.7879183030621781,1.8140472092699376,2750,2750,0,1.0,39,250,74,176,0,12,-0.1489931919218482,-0.15264522960979532,-0.1489931919218482,1.0,-1.864051378412875,77.74928788836354,78.36950726536955,30.4410335,30.3543565,30,False,False,0
CAM-0605,qqq__residual_mom__q10__regime0,2.0,-1.8379183030621784,1.8600995163260226,2750,2750,0,1.0,39,250,71,179,0,12,-0.15315985858851486,-0.1567452296097953,-0.15315985858851486,1.0,-1.9136877420492389,77.74928788836354,78.36950726536955,30.4410335,30.3543565,30,False,False,0
CAM-0605,qqq__residual_mom__q10__regime0,5.0,-1.9879183030621785,1.998367244857604,2750,2750,0,1.0,39,250,70,180,0,12,-0.16565985858851492,-0.16904522960979534,-0.16565985858851492,1.0000000000000002,-2.06259683295833,77.74928788836354,78.36950726536955,30.4410335,30.3543565,30,False,False,0
CAM-0607,etf__cluster_reversal_r1__long,0.0,0.2740142604106187,0.21986559323232743,3401,3381,20,0.9941193766539254,27,250,125,125,8,4,0.022834521700884892,0.05608182399716538,0.022834521700884892,0.932332570518764,-0.11574443568909049,7.834147190305144,2.4601002643577603,2.400226,0.85167,30,False,False,0
CAM-0607,etf__cluster_reversal_r1__long,1.0,0.22415216989588302,0.22870558761096063,3401,3381,20,0.9941193766539254,27,250,124,126,8,4,0.01867934749132358,0.05198182399716539,0.01867934749132358,0.9438547857867493,-0.16100766360797955,7.834147190305144,2.4601002643577603,2.400226,0.85167,30,False,False,0
CAM-0607,etf__cluster_reversal_r1__long,2.0,0.1742900793811471,0.24628769774795545,3401,3381,20,0.9941193766539254,27,250,122,128,8,4,0.014524173281762262,0.04788182399716539,0.014524173281762262,0.9543513337536186,-0.20627089152686884,7.834147190305144,2.4601002643577603,2.400226,0.85167,30,False,False,0
CAM-0607,etf__cluster_reversal_r1__long,5.0,0.02470380783693965,0.30389319963409633,3401,3381,20,0.9941193766539254,27,250,118,132,8,4,0.002058650653078309,0.03488885077531484,0.002058650653078309,0.9804398906861083,-0.34206057528353645,7.834147190305144,2.4601002643577603,2.400226,0.85167,30,False,False,0
CAM-0610,etf__sma200__long,0.0,0.007653896236036628,0.18805961479888575,5045,5045,0,1.0,26,249,139,110,8,4,0.0006378246863363869,0.0053048607925809295,0.0006378246863363869,0.8496274554607085,-0.06747618108596158,7.020737981391716,7.004155207540097,2.564228,2.600679,5,False,False,0
CAM-0610,etf__sma200__long,1.0,-0.042146103763963313,0.21198106959098983,5045,5045,0,1.0,26,249,137,112,6,6,-0.0035121753136636118,0.0013048607925809311,-0.0035121753136636118,0.8940063618798583,-0.11533609156530585,7.020737981391716,7.004155207540097,2.564228,2.600679,5,False,False,0
CAM-0610,etf__sma200__long,2.0,-0.09194610376396332,0.23702568235928625,5045,5045,0,1.0,26,249,133,116,6,6,-0.007662175313663613,-0.0026951392074190702,-0.007662175313663613,0.9261987153037494,-0.16319600204465018,7.020737981391716,7.004155207540097,2.564228,2.600679,5,False,False,0
CAM-0610,etf__sma200__long,5.0,-0.24134610376396348,0.335382257165373,5045,5045,0,1.0,26,249,124,125,4,8,-0.020112175313663622,-0.014695139207419081,-0.020112175313663622,0.9951147139884492,-0.3067757334826833,7.020737981391716,7.004155207540097,2.564228,2.600679,5,False,False,0
CAM-0611,etf__sma50_200__long,0.0,-0.06033019557855968,0.2101173764480095,4819,4819,0,1.0,27,249,131,118,5,7,-0.005027516298213308,-0.0017010771667577036,-0.005027516298213308,0.8658800738048088,-0.149033636417542,6.93051696358844,6.934951580214306,2.6743729999999997,2.656462,5,False,False,0
CAM-0611,etf__sma50_200__long,1.0,-0.11013019557855964,0.23576685475145662,4819,4819,0,1.0,27,249,129,120,5,7,-0.009177516298213305,-0.0059010771667577025,-0.009177516298213305,0.8949830476778513,-0.1972191507435414,6.93051696358844,6.934951580214306,2.6743729999999997,2.656462,5,False,False,0
CAM-0611,etf__sma50_200__long,2.0,-0.1599301955785597,0.2761065993142979,4819,4819,0,1.0,27,249,126,123,5,7,-0.013327516298213304,-0.009909067046360923,-0.013327516298213304,0.9193707320833525,-0.2454046650695409,6.93051696358844,6.934951580214306,2.6743729999999997,2.656462,5,False,False,0
CAM-0611,etf__sma50_200__long,5.0,-0.3093301955785598,0.41082091981471675,4819,4819,0,1.0,27,249,113,136,3,9,-0.025777516298213312,-0.021609067046360935,-0.025777516298213312,0.9824357280123215,-0.3899612080475393,6.93051696358844,6.934951580214306,2.6743729999999997,2.656462,5,False,False,0
CAM-0612,etf__sma10_50_200__long,0.0,-0.028513464542483644,0.19014924383471832,3555,3555,0,1.0,25,249,136,113,7,5,-0.0023761220452069728,0.010647054806948636,-0.0023761220452069728,0.893913759155471,-0.08673556135143148,6.331827420047316,6.298660231415423,2.836467,2.8129359999999997,5,False,False,0
