variant,block,net_pnl,signal_days
tail02_reclaim10_anomaly_ge1_5_final_c20,block_2,-0.19219892069239006,26
tail02_reclaim10_anomaly_ge1_5_final_c20,block_3,-0.20170139813814386,32
tail02_reclaim10_anomaly_ge2_1200_c5,block_1,0.000706772107056941,21
tail02_reclaim10_anomaly_ge2_1200_c5,block_2,-0.08391741383412565,18
tail02_reclaim10_anomaly_ge2_1200_c5,block_3,-0.21611384130111877,19
tail02_reclaim10_anomaly_ge2_1200_c10,block_1,-0.020293227892943078,21
tail02_reclaim10_anomaly_ge2_1200_c10,block_2,-0.10091741383412567,18
tail02_reclaim10_anomaly_ge2_1200_c10,block_3,-0.23411384130111879,19
tail02_reclaim10_anomaly_ge2_1200_c20,block_1,-0.06229322789294309,21
tail02_reclaim10_anomaly_ge2_1200_c20,block_2,-0.13491741383412567,18
tail02_reclaim10_anomaly_ge2_1200_c20,block_3,-0.2701138413011188,19
tail02_reclaim10_anomaly_ge2_final_c5,block_1,0.11531508189805073,21
tail02_reclaim10_anomaly_ge2_final_c5,block_2,-0.006237050303239955,18
tail02_reclaim10_anomaly_ge2_final_c5,block_3,-0.13529024308197934,19
tail02_reclaim10_anomaly_ge2_final_c10,block_1,0.09431508189805071,21
tail02_reclaim10_anomaly_ge2_final_c10,block_2,-0.02423705030323997,18
tail02_reclaim10_anomaly_ge2_final_c10,block_3,-0.15429024308197936,19
tail02_reclaim10_anomaly_ge2_final_c20,block_1,0.0523150818980507,21
tail02_reclaim10_anomaly_ge2_final_c20,block_2,-0.06023705030323999,18
tail02_reclaim10_anomaly_ge2_final_c20,block_3,-0.1922902430819794,19
tail02_reclaim25_all_1200_c5,block_1,-0.06941699983459271,16
tail02_reclaim25_all_1200_c5,block_2,0.04911564364782267,17
tail02_reclaim25_all_1200_c5,block_3,0.025978325186720774,31
tail02_reclaim25_all_1200_c10,block_1,-0.08541699983459271,16
tail02_reclaim25_all_1200_c10,block_2,0.03311564364782266,17
tail02_reclaim25_all_1200_c10,block_3,-0.004021674813279237,31
tail02_reclaim25_all_1200_c20,block_1,-0.11741699983459271,16
tail02_reclaim25_all_1200_c20,block_2,0.0011156436478226804,17
tail02_reclaim25_all_1200_c20,block_3,-0.06402167481327922,31
tail02_reclaim25_all_final_c5,block_1,-0.11372357564867408,16
tail02_reclaim25_all_final_c5,block_2,0.08320570142237294,17
tail02_reclaim25_all_final_c5,block_3,0.1186451381978072,31
tail02_reclaim25_all_final_c10,block_1,-0.1297235756486741,16
tail02_reclaim25_all_final_c10,block_2,0.06620570142237292,17
tail02_reclaim25_all_final_c10,block_3,0.08764513819780718,31
tail02_reclaim25_all_final_c20,block_1,-0.1617235756486741,16
tail02_reclaim25_all_final_c20,block_2,0.03220570142237293,17
tail02_reclaim25_all_final_c20,block_3,0.025645138197807178,31
tail02_reclaim25_participation_q50_1200_c5,block_1,-0.06506759761625247,10
tail02_reclaim25_participation_q50_1200_c5,block_2,0.04416785273700791,15
tail02_reclaim25_participation_q50_1200_c5,block_3,-0.017839135632286007,23
tail02_reclaim25_participation_q50_1200_c10,block_1,-0.07506759761625248,10
tail02_reclaim25_participation_q50_1200_c10,block_2,0.029167852737007907,15
tail02_reclaim25_participation_q50_1200_c10,block_3,-0.040839135632286014,23
tail02_reclaim25_participation_q50_1200_c20,block_1,-0.09506759761625247,10
tail02_reclaim25_participation_q50_1200_c20,block_2,-0.0008321472629920848,15
tail02_reclaim25_participation_q50_1200_c20,block_3,-0.08683913563228601,23
tail02_reclaim25_participation_q50_final_c5,block_1,-0.06349983313513141,10
tail02_reclaim25_participation_q50_final_c5,block_2,0.08597666692538153,15
tail02_reclaim25_participation_q50_final_c5,block_3,0.10764178687195436,23
tail02_reclaim25_participation_q50_final_c10,block_1,-0.07349983313513142,10
tail02_reclaim25_participation_q50_final_c10,block_2,0.07097666692538152,15
tail02_reclaim25_participation_q50_final_c10,block_3,0.08464178687195435,23
tail02_reclaim25_participation_q50_final_c20,block_1,-0.09349983313513142,10
tail02_reclaim25_participation_q50_final_c20,block_2,0.0409766669253815,15
tail02_reclaim25_participation_q50_final_c20,block_3,0.03864178687195435,23
tail02_reclaim25_participation_q67_1200_c5,block_1,-0.07615576742626251,8
tail02_reclaim25_participation_q67_1200_c5,block_2,0.07538641198173829,13
tail02_reclaim25_participation_q67_1200_c5,block_3,-0.07769758858725428,20
tail02_reclaim25_participation_q67_1200_c10,block_1,-0.08415576742626252,8
tail02_reclaim25_participation_q67_1200_c10,block_2,0.06238641198173828,13
tail02_reclaim25_participation_q67_1200_c10,block_3,-0.0976975885872543,20
tail02_reclaim25_participation_q67_1200_c20,block_1,-0.1001557674262625,8
tail02_reclaim25_participation_q67_1200_c20,block_2,0.036386411981738295,13
tail02_reclaim25_participation_q67_1200_c20,block_3,-0.1376975885872543,20
tail02_reclaim25_participation_q67_final_c5,block_1,-0.07723068407636768,8
tail02_reclaim25_participation_q67_final_c5,block_2,0.14042260591554023,13
tail02_reclaim25_participation_q67_final_c5,block_3,0.005103097705657533,20
tail02_reclaim25_participation_q67_final_c10,block_1,-0.08523068407636769,8
tail02_reclaim25_participation_q67_final_c10,block_2,0.12742260591554022,13
tail02_reclaim25_participation_q67_final_c10,block_3,-0.014896902294342484,20
tail02_reclaim25_participation_q67_final_c20,block_1,-0.10123068407636769,8
tail02_reclaim25_participation_q67_final_c20,block_2,0.1014226059155402,13
tail02_reclaim25_participation_q67_final_c20,block_3,-0.05489690229434249,20
tail02_reclaim25_participation_q80_1200_c5,block_1,-0.03535324132521489,6
tail02_reclaim25_participation_q80_1200_c5,block_2,0.07861294308142275,12
tail02_reclaim25_participation_q80_1200_c5,block_3,-0.10301511186014517,14
tail02_reclaim25_participation_q80_1200_c10,block_1,-0.041353241325214896,6
tail02_reclaim25_participation_q80_1200_c10,block_2,0.06661294308142274,12
tail02_reclaim25_participation_q80_1200_c10,block_3,-0.11701511186014518,14
tail02_reclaim25_participation_q80_1200_c20,block_1,-0.05335324132521489,6
tail02_reclaim25_participation_q80_1200_c20,block_2,0.042612943081422744,12
tail02_reclaim25_participation_q80_1200_c20,block_3,-0.1450151118601452,14
tail02_reclaim25_participation_q80_final_c5,block_1,-0.027184352324548855,6
tail02_reclaim25_participation_q80_final_c5,block_2,0.13818681248526266,12
tail02_reclaim25_participation_q80_final_c5,block_3,-0.05391168548990044,14
tail02_reclaim25_participation_q80_final_c10,block_1,-0.03318435232454886,6
tail02_reclaim25_participation_q80_final_c10,block_2,0.12618681248526264,12
tail02_reclaim25_participation_q80_final_c10,block_3,-0.06791168548990045,14
