variant,K,M,breadth,execution,state,full_gross_simple_return,mean_decision_bps,break_even_cost_bps_per_side,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
K4_M1_decile_actionable_oc_high_noise,4,1,decile,actionable_oc,high_noise,0.0026284429508155634,0.02684824260281478,0.01342412130140739,0.046645049593122954,472,True,979,273,0.0001460246083786424,9,8.193373833263994e-05,9,0.0005058863224702226,8
K6_M4_quintile_source_cc_all,6,4,quintile,source_cc,all,-0.05111916251744923,-0.3482231779117796,-0.1741115889558898,0.149073608020161,540,True,1468,367,-0.0028399534731916257,11,7.031070003243207e-05,8,0.003332796509739571,6
K6_M6_quintile_source_cc_all,6,6,quintile,source_cc,all,0.004959950776312547,0.06757426125766393,0.033787130628831964,0.072158725413944,503,True,734,367,0.00027555282090625165,9,6.940280419798702e-05,7,0.0031345091815526364,4
K6_M6_quintile_actionable_oc_all,6,6,quintile,actionable_oc,all,0.003490505677446968,0.047554573262220554,0.023777286631110277,0.07225933658345393,503,True,734,367,0.00019391698208038731,10,-9.30877002381277e-08,8,0.003023866844637027,5
K6_M4_quintile_actionable_oc_all,6,4,quintile,actionable_oc,all,-0.053240881261706265,-0.3626763028726583,-0.18133815143632914,0.15072885568916305,540,True,1468,367,-0.0029578267367614576,11,-6.1062870379149e-06,8,0.003314923642627726,6
K3_M1_quintile_actionable_oc_high_noise,3,1,quintile,actionable_oc,high_noise,-0.0032797566865088775,-0.030061931132070258,-0.015030965566035129,0.04183709465900767,307,True,1091,277,-0.0001822087048060486,11,-2.7673837426029668e-05,10,-0.0014821221051273129,9
K6_M3_decile_actionable_oc_all,6,3,decile,actionable_oc,all,-0.08127018449513501,-0.4428892888018259,-0.22144464440091294,0.18792372408986513,540,True,1835,367,-0.004515010249729726,9,-0.000188734656373548,6,0.0011756297714425273,5
K3_M6_quintile_source_cc_high_market_vol,3,6,quintile,source_cc,high_market_vol,-0.0037982400433058255,-0.06782571505903248,-0.03391285752951624,0.05008213250497248,278,True,560,112,-0.00021101333573921176,5,-0.0002532160028870541,5,-4.925226583886791e-05,3
K4_M1_quintile_source_cc_high_market_vol,4,1,quintile,source_cc,high_market_vol,-0.004199331277945227,-0.04166003251929776,-0.02083001625964888,0.02622597911563224,189,True,1008,112,-0.00023329618210806774,5,-0.00027995541852968153,5,-0.0013280970722538432,4
K3_M6_quintile_actionable_oc_high_market_vol,3,6,quintile,actionable_oc,high_market_vol,-0.006775322030966133,-0.12098789341010967,-0.060493946705054834,0.05020456058620138,279,True,560,112,-0.0003764067794981181,5,-0.00045168813539774174,5,-0.0002468747059856073,3
K4_M1_quintile_actionable_oc_high_market_vol,4,1,quintile,actionable_oc,high_market_vol,-0.009675042942597236,-0.09598256887497267,-0.047991284437486334,0.026856921159945122,193,True,1008,112,-0.0005375023856998466,5,-0.0006450028628398159,5,-0.0015541570613161928,4
K4_M4_decile_source_cc_high_noise,4,4,decile,source_cc,high_noise,-0.002639048405095757,-0.04236032752962686,-0.02118016376481343,0.09629849450236025,464,True,623,236,-0.00014661380028309733,8,-0.0007137341208577622,8,0.0007673774788988307,7
K6_M2_decile_source_cc_all,6,2,decile,source_cc,all,-0.0754307279113369,-0.34255553093250185,-0.17127776546625093,0.16793447384711513,541,True,2202,367,-0.004190595995074274,9,-0.0007656191153199571,6,-0.00034166881084865655,4
K4_M2_decile_source_cc_high_noise,4,2,decile,source_cc,high_noise,-0.009196045528917302,-0.10693076196415484,-0.05346538098207742,0.08027711321888485,471,True,860,270,-0.0005108914182731842,8,-0.0008673247292950782,8,0.0016697256643059823,5
K1_M6_quintile_source_cc_high_noise,1,6,quintile,source_cc,high_noise,0.003742199836551021,0.05211977488232596,0.02605988744116298,0.06369722627086886,254,True,718,245,0.00020789999091950096,7,-0.0008799846348349786,7,-0.003007641454574783,7
K4_M4_decile_actionable_oc_high_noise,4,4,decile,actionable_oc,high_noise,-0.00739511287050789,-0.11870165121200467,-0.059350825606002335,0.09794048952740553,464,True,623,236,-0.0004108396039171054,8,-0.0009361682180477,8,0.0005850596691882702,7
K4_M2_decile_actionable_oc_high_noise,4,2,decile,actionable_oc,high_noise,-0.012677717084202568,-0.14741531493258803,-0.07370765746629401,0.08205640010038706,472,True,860,270,-0.0007043176157890318,8,-0.0009872922923329702,8,0.0015429881646656415,5
K6_M4_decile_source_cc_high_noise,6,4,decile,source_cc,high_noise,-0.017123940720379743,-0.4086859360472497,-0.20434296802362484,0.06949041540100422,440,True,419,218,-0.0009513300400210972,8,-0.0010714788916579934,7,0.0006968503190320638,5
K1_M1_quintile_source_cc_all,1,1,quintile,source_cc,all,-0.07919223515075152,-0.17981888090543033,-0.08990944045271516,0.15059304267204915,541,True,4404,367,-0.004399568619486196,12,-0.0010720463560041397,10,-0.0035549887270062593,8
K1_M6_quintile_actionable_oc_high_noise,1,6,quintile,actionable_oc,high_noise,0.0009122588155566387,0.012705554534214878,0.006352777267107439,0.06473764787884718,254,True,718,245,5.068104530870138e-05,7,-0.0010813426450033633,7,-0.003114739890561461,7
K6_M4_decile_actionable_oc_high_noise,6,4,decile,actionable_oc,high_noise,-0.01936509740832501,-0.4621741624898572,-0.2310870812449286,0.0706445145273391,440,True,419,218,-0.0010758387449069451,8,-0.0011737425334324531,7,0.0007436661330448598,5
K6_M2_decile_actionable_oc_all,6,2,decile,actionable_oc,all,-0.08531934930180907,-0.38746298502183946,-0.19373149251091973,0.1762187664913519,541,True,2202,367,-0.004739963850100504,9,-0.0012233521187339767,6,-0.0006466874678171848,4
K1_M4_quintile_source_cc_high_noise,1,4,quintile,source_cc,high_noise,-0.015994167144643655,-0.1716112354575501,-0.08580561772877505,0.06929303853339235,240,True,932,265,-0.0008885648413690923,7,-0.001252130754839416,7,-0.0032740803675906844,7
K4_M6_quintile_source_cc_all,4,6,quintile,source_cc,all,-0.03314637370810312,-0.22579273643122005,-0.11289636821561003,0.16785014129068693,457,True,1468,367,-0.001841465206005728,10,-0.0012885215659655266,8,0.0023835139650994065,6
K3_M4_quintile_source_cc_high_market_vol,3,4,quintile,source_cc,high_market_vol,-0.019559439122713122,-0.24948264187134092,-0.12474132093567046,0.05386322310398334,382,True,784,112,-0.001086635506817396,6,-0.0013039626081808753,6,-0.0009082139155275002,4
