account_notional,participation,execution,period_type,period,net_return
2000,0.05,primary_250ms_2bp,weekly,2024-07-13/2024-07-19,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-07-20/2024-07-26,0.0131166406718656
2000,0.05,primary_250ms_2bp,weekly,2024-07-27/2024-08-02,0.006802939412117533
2000,0.05,primary_250ms_2bp,weekly,2024-08-03/2024-08-09,-0.004889241151769695
2000,0.05,primary_250ms_2bp,weekly,2024-08-10/2024-08-16,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-08-17/2024-08-23,0.004944727054589166
2000,0.05,primary_250ms_2bp,weekly,2024-08-24/2024-08-30,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-08-31/2024-09-06,0.01991287742451503
2000,0.05,primary_250ms_2bp,weekly,2024-09-07/2024-09-13,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-09-14/2024-09-20,0.004685862827434467
2000,0.05,primary_250ms_2bp,weekly,2024-09-21/2024-09-27,0.009747270545890724
2000,0.05,primary_250ms_2bp,weekly,2024-09-28/2024-10-04,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-10-05/2024-10-11,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-10-12/2024-10-18,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-10-19/2024-10-25,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-10-26/2024-11-01,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-11-02/2024-11-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-11-09/2024-11-15,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-11-16/2024-11-22,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-11-23/2024-11-29,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-11-30/2024-12-06,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-12-07/2024-12-13,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-12-14/2024-12-20,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-12-21/2024-12-27,0.0
2000,0.05,primary_250ms_2bp,weekly,2024-12-28/2025-01-03,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-01-04/2025-01-10,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-01-11/2025-01-17,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-01-18/2025-01-24,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-01-25/2025-01-31,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-02-01/2025-02-07,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-02-08/2025-02-14,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-02-15/2025-02-21,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-02-22/2025-02-28,0.0
