variant,block,net_pnl,active_days
tail10_anomaly1_breadth_equal_clustered_all_c20,block_1,-0.1777318250238778,39
tail10_anomaly1_breadth_equal_clustered_all_c20,block_2,0.0069577229824859255,37
tail10_anomaly1_breadth_equal_clustered_all_c20,block_3,-0.07055059467452604,56
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c20,block_1,-0.2059362887325954,39
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c20,block_2,0.12879780473775782,37
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c20,block_3,-0.018689939003311937,56
tail10_anomaly1_market_state_equal_all_trend_up_c20,block_1,-0.19395812476274574,42
tail10_anomaly1_market_state_equal_all_trend_up_c20,block_2,0.20806503011634317,70
tail10_anomaly1_market_state_equal_all_trend_up_c20,block_3,-0.19819388179461175,41
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c20,block_1,-0.20505406996949704,42
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c20,block_2,0.311140598125997,70
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c20,block_3,-0.2611018711109655,41
tail10_anomaly1_market_state_equal_all_trend_down_c20,block_1,0.10058170274831348,33
tail10_anomaly1_market_state_equal_all_trend_down_c20,block_2,0.033041548846170624,7
tail10_anomaly1_market_state_equal_all_trend_down_c20,block_3,0.13925459945982765,39
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c20,block_1,0.08347318424634716,33
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c20,block_2,0.051806062591788674,7
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c20,block_3,0.2540232444473955,39
tail10_anomaly1_market_state_equal_all_vol_high_c20,block_1,0.11157270020443177,46
tail10_anomaly1_market_state_equal_all_vol_high_c20,block_2,0.17363286059339564,26
tail10_anomaly1_market_state_equal_all_vol_high_c20,block_3,0.12124671289995989,50
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c20,block_1,0.17143916915104973,46
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c20,block_2,0.23542735999291092,26
tail10_anomaly1_market_state_top1_reclaim_all_vol_high_c20,block_3,0.1697107851584296,50
tail10_anomaly1_market_state_equal_all_vol_low_c20,block_1,-0.20494912221886397,29
tail10_anomaly1_market_state_equal_all_vol_low_c20,block_2,0.06747371836911814,51
tail10_anomaly1_market_state_equal_all_vol_low_c20,block_3,-0.180185995234744,30
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c20,block_1,-0.2930200548741996,29
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c20,block_2,0.12751930072487472,51
tail10_anomaly1_market_state_top1_reclaim_all_vol_low_c20,block_3,-0.1767894118219996,30
